site,tree_id,scientific_name,family_name,utm_easting,utm_northing,type,dbh_2014,dead_2014,dbh_2018,dead_2018,plot_id
CAU_A01,001a,Guatteria schomburgkiana,Annonaceae,778461.3817,9586860.759,O,26.9,False,29.5,False,T01
CAU_A01,002a,Inga sp.,Fabaceae,778455.3616,9586860.854,O,13.0,False,17.2,False,T01
CAU_A01,003a,Tachigali myrmecophila,Fabaceae,778451.1685,9586863.577,O,10.7,False,12.5,False,T01
CAU_A01,004a,Sloanea guianensis,Elaeocarpaceae,778450.942,9586863.963,O,14.0,False,14.1,False,T01
CAU_A01,005a,Simaba cedron,Simaroubaceae,778450.9285,9586864.163,O,17.0,False,17.2,False,T01
CAU_A01,005b,Licania canescens,Chrysobalanaceae,778444.1712,9586870.399,O,14.9,False,15.0,False,T01
CAU_A01,006a,,,778450.2651,9586862.113,O,33.2,True,,True,T01
CAU_A01,006b,Anacardium spruceanum,Anacardiaceae,778443.5294,9586872.461,O,78.9,False,80.1,False,T01
CAU_A01,007a,Licania octandra,Chrysobalanaceae,778447.2046,9586862.909,O,10.8,False,10.7,False,T01
CAU_A01,007b,Protium paniculatum,Burseraceae,778443.2246,9586869.534,O,14.7,False,14.7,False,T01
CAU_A01,008a,,,778445.1484,9586863.672,L,27.5,False,16.1,False,T01
CAU_A01,009a,Spondias sp.,Anacardiaceae,778445.418,9586859.681,O,20.7,False,21.3,False,T01
CAU_A01,010a,Mucuna rostrata,Fabaceae,778434.315,9586860.835,O,10.8,False,10.8,False,T01
CAU_A01,010b,Pouteria hispida,Sapotaceae,778433.713,9586868.991,O,27.7,False,28.4,False,T01
CAU_A01,011a,Nectandra cuspidata,Lauraceae,778442.4249,9586859.479,O,34.3,False,36.5,False,T01
CAU_A01,012a,,,778436.4385,9586859.074,L,10.7,False,10.8,False,T01
CAU_A01,012b,Licania canescens,Chrysobalanaceae,778427.1563,9586869.342,O,15.3,False,15.9,False,T01
CAU_A01,013a,Licania canescens,Chrysobalanaceae,778434.5145,9586860.849,O,14.4,False,14.4,False,T01
CAU_A01,013b,Lecythis idatimon,Lecythidaceae,778423.2009,9586868.382,O,16.5,False,17.0,False,T01
CAU_A01,014a,Pouteria gongrijpii,Sapotaceae,778435.2318,9586862.1,O,13.0,False,13.1,False,T01
CAU_A01,014b,Lecythis idatimon,Lecythidaceae,778417.1911,9586868.076,O,12.0,False,12.2,False,T01
CAU_A01,015a,Pouteria oppositifolia,Sapotaceae,778430.1893,9586862.561,O,28.1,False,28.8,False,T01
CAU_A01,016a,Lecythis idatimon,Lecythidaceae,778428.396,9586859.433,O,11.7,False,11.9,False,T01
CAU_A01,016b,Pouteria sp.,Sapotaceae,778413.8796,9586872.463,O,46.5,False,45.1,False,T01
CAU_A01,017a,Caryocar glabrum,Caryocaraceae,778414.2459,9586861.183,O,19.7,False,14.4,False,T01
CAU_A01,018a,,,778433.3582,9586889.837,O,38.4,True,,True,T01
CAU_A01,019a,Eschweilera coriacea,Lecythidaceae,778420.8463,9586897.01,O,35.4,False,36.7,False,T01
CAU_A01,020a,Brosimum rubescens,Moraceae,778411.7993,9586897.401,O,66.0,False,78.5,False,T01
CAU_A01,021a,Pouteria hispida,Sapotaceae,778430.4865,9586902.672,O,54.7,False,54.2,False,T01
CAU_A01,022a,Tachigali myrmecophila,Fabaceae,778441.4615,9586903.414,O,41.0,False,46.5,False,T01
CAU_A01,023a,Eschweilera coriacea,Lecythidaceae,778445.3176,9586905.679,O,37.5,False,37.9,False,T01
CAU_A01,024a,Eschweilera coriacea,Lecythidaceae,778448.7152,9586899.895,O,39.3,False,40.1,False,T01
CAU_A01,025a,,,778454.1756,9586893.248,O,68.6,True,,True,T01
CAU_A01,026a,Manilkara amazonica,Sapotaceae,778458.8405,9586883.54,O,68.0,False,69.0,False,T01
CAU_A01,027a,Licania octandra,Chrysobalanaceae,778452.0586,9586880.075,O,47.8,False,48.5,False,T01
CAU_A01,142a,Lecythis idatimon,Lecythidaceae,778424.2756,9586867.352,O,37.0,False,37.5,False,T01
CAU_A01,143a,Licania canescens,Chrysobalanaceae,778430.7856,9586867.691,O,14.0,False,14.1,False,T01
CAU_A01,144a,Lecythis idatimon,Lecythidaceae,778430.7918,9586867.599,O,27.7,False,27.7,False,T01
CAU_A01,145a,Pouteria sp.,Sapotaceae,778433.8613,9586866.796,O,53.5,False,54.2,False,T01
CAU_A01,147a,,,778448.7679,9586869.307,O,23.2,False,24.0,False,T01
CAU_A01,148a,Eschweilera parviflora,Lecythidaceae,778457.8056,9586869.424,O,11.6,False,12.5,False,T01
CAU_A01,153a,Tapirira guianensis,Anacardiaceae,778435.5875,9586878.439,O,36.9,False,38.7,False,T01
CAU_A01,154a,Eschweilera parviflora,Lecythidaceae,778436.8815,9586859.283,O,39.0,False,40.5,False,T01
CAU_A01,156a,Copaifera reticulata,Fabaceae,778421.0569,9586862.925,O,51.5,False,53.4,False,T01
CAU_A01,168a,Lecythis idatimon,Lecythidaceae,778458.3818,9586860.657,O,,,14.4,False,T01
CAU_A01,169a,Helicostylis tomentosa,Moraceae,778455.7276,9586898.464,O,,,31.2,False,T01
CAU_A01,170a,Eschweilera ovata,Lecythidaceae,778455.7343,9586898.364,O,,,16.0,False,T01
CAU_A01,171a,Licania guianensis,Chrysobalanaceae,778455.4835,9586896.142,O,,,25.3,False,T01
CAU_A01,172a,Pouteria gongrijpii,Sapotaceae,778446.8545,9586897.765,O,,,21.9,False,T01
CAU_A01,173a,Mucuna rostrata,Fabaceae,778444.9265,9586896.632,O,,,15.4,False,T01
CAU_A01,174a,Licania canescens,Chrysobalanaceae,778446.0914,9586895.708,O,,,14.6,False,T01
CAU_A01,175a,Lecythis idatimon,Lecythidaceae,778446.0927,9586894.205,O,,,18.2,False,T01
CAU_A01,176a,Lecythis idatimon,Lecythidaceae,778445.7003,9586894.078,O,,,25.4,False,T01
CAU_A01,177a,Licania octandra,Chrysobalanaceae,778454.7553,9586884.667,O,,,17.3,False,T01
CAU_A01,178a,Lecythis idatimon,Lecythidaceae,778448.839,9586887.675,O,,,12.9,False,T01
CAU_A01,179a,Tachigali paniculata,Fabaceae,778446.3219,9586890.813,O,,,16.2,False,T01
CAU_A01,180a,Lecythis idatimon,Lecythidaceae,778449.861,9586882.933,O,,,13.7,False,T01
CAU_A01,181a,Micrandra minor,Euphorbiaceae,778446.1329,9586878.772,O,,,12.1,False,T01
CAU_A01,182a,Lecythis idatimon,Lecythidaceae,778446.1073,9586877.668,O,,,24.0,False,T01
CAU_A01,183a,Pouteria hispida,Sapotaceae,778443.7398,9586884.524,O,,,23.0,False,T01
CAU_A01,184a,Lecythis idatimon,Lecythidaceae,778441.5422,9586887.383,O,,,21.4,False,T01
CAU_A01,185a,Pouteria gongrijpii,Sapotaceae,778440.4096,9586889.311,O,,,17.4,False,T01
CAU_A01,186a,Lecythis idatimon,Lecythidaceae,778453.326,9586876.151,O,,,12.5,False,T01
CAU_A01,187a,Lecythis idatimon,Lecythidaceae,778456.853,9586874.385,O,,,16.9,False,T01
CAU_A01,188a,Licania sp.,Chrysobalanaceae,778455.4158,9586874.889,O,,,13.1,False,T01
CAU_A01,189a,Fusaea longifolia,Annonaceae,778449.3553,9586875.582,O,,,14.5,False,T01
CAU_A01,190a,Abarema jupunba,Fabaceae,778447.4676,9586873.851,O,,,17.9,False,T01
CAU_A01,191a,Poeppigia procera,Fabaceae,778444.5082,9586873.15,O,,,12.1,False,T01
CAU_A01,192a,Caraipa grandifolia,Calophyllaceae,778444.616,9586871.554,O,,,35.8,False,T01
CAU_A01,025a,Licania guianensis,Chrysobalanaceae,778263.0726,9586858.258,O,11.2,False,11.5,False,T01
CAU_A01,028a,Licania octandra,Chrysobalanaceae,778311.119,9586852.842,O,11.0,False,11.3,False,T01
CAU_A01,029a,Hymenolobium petraeum,Fabaceae,778309.4296,9586852.627,O,17.0,False,19.2,False,T01
CAU_A01,030a,Nectandra cuspidata,Lauraceae,778302.1138,9586851.131,O,20.0,False,20.9,False,T01
CAU_A01,031a,Eschweilera coriacea,Lecythidaceae,778299.8325,9586850.776,O,10.9,False,10.9,False,T01
CAU_A01,032a,Eschweilera coriacea,Lecythidaceae,778296.5737,9586850.055,O,12.4,False,13.2,False,T01
CAU_A01,033a,,,778296.4524,9586851.851,L,11.5,False,11.7,False,T01
CAU_A01,034a,Strychnos subcordata,Loganiaceae,778294.5446,9586850.419,O,12.1,False,12.2,False,T01
CAU_A01,035a,Pouteria reticulata,Sapotaceae,778292.5087,9586850.883,O,19.4,False,21.1,False,T01
CAU_A01,036a,,,778291.6162,9586852.226,L,10.6,False,11.5,False,T01
CAU_A01,037a,Licania canescens,Chrysobalanaceae,778289.9011,9586850.907,O,10.5,False,11.5,False,T01
CAU_A01,038a,,,778285.6122,9586849.114,O,27.0,True,,True,T01
CAU_A01,039a,Lecythis idatimon,Lecythidaceae,778284.3516,9586852.938,O,16.4,False,16.5,False,T01
CAU_A01,040a,Pradosia cochlearia,Sapotaceae,778282.3562,9586852.803,O,12.8,False,13.0,False,T01
CAU_A01,041a,Tachigali myrmecophila,Fabaceae,778280.9661,9586852.609,O,12.7,False,12.7,False,T01
CAU_A01,042a,Ambelania acida,Apocynaceae,778279.8888,9586852.235,O,13.3,False,14.7,False,T01
CAU_A01,043a,Pouteria hispida,Sapotaceae,778277.1707,9586849.446,O,41.0,False,42.1,False,T01
CAU_A01,044a,,,778274.5631,9586849.47,O,13.8,True,,True,T01
CAU_A01,045a,Lecythis idatimon,Lecythidaceae,778274.2031,9586850.348,O,11.7,False,11.9,False,T01
CAU_A01,046a,Licania guianensis,Chrysobalanaceae,778273.9429,9586851.232,O,11.0,False,11.4,False,T01
CAU_A01,047a,Pseudopiptadenia psilostachya,Fabaceae,778271.876,9586849.188,O,12.0,False,15.7,False,T01
CAU_A01,048a,Myrcia velutina,Myrtaceae,778263.1621,9586849.101,O,13.3,False,14.0,False,T01
CAU_A01,049a,Pouteria oppositifolia,Sapotaceae,778279.4709,9586851.004,O,44.9,False,45.0,False,T01
CAU_A01,050a,Eschweilera coriacea,Lecythidaceae,778270.64,9586877.87,O,40.2,False,40.3,False,T01
CAU_A01,051a,Tachigali myrmecophila,Fabaceae,778271.3008,9586882.926,O,54.0,False,61.9,False,T01
CAU_A01,052a,Manilkara amazonica,Sapotaceae,778274.3072,9586868.095,O,61.5,False,60.3,False,T01
CAU_A01,053a,Pouteria gongrijpii,Sapotaceae,778294.1137,9586886.472,O,38.5,False,39.0,False,T01
CAU_A01,054a,Pouteria gongrijpii,Sapotaceae,778299.3721,9586897.652,O,40.6,False,40.7,False,T01
CAU_A01,055a,Manilkara huberi,Sapotaceae,778304.3473,9586898.188,O,44.5,False,45.7,False,T01
CAU_A01,056a,Pseudopiptadenia psilostachya,Fabaceae,778292.1315,9586871.304,O,35.8,False,35.9,False,T01
CAU_A01,120a,Manilkara bidentata,Sapotaceae,778293.8573,9586856.336,O,53.7,False,54.1,False,T01
CAU_A01,136a,Symphonia globulifera,Clusiaceae,778300.3294,9586898.318,O,,,18.3,False,T01
CAU_A01,137a,Pouteria hispida,Sapotaceae,778296.4909,9586898.76,O,,,20.5,False,T01
CAU_A01,138a,Protium paniculatum,Burseraceae,778293.3655,9586897.547,O,,,14.1,False,T01
CAU_A01,139a,Licania guianensis,Chrysobalanaceae,778293.3723,9586897.447,O,,,29.8,False,T01
CAU_A01,140a,Licania guianensis,Chrysobalanaceae,778293.5071,9586895.452,O,,,13.7,False,T01
CAU_A01,141a,Licania canescens,Chrysobalanaceae,778308.3435,9586892.445,O,,,10.8,False,T01
CAU_A01,142a,Tachigali myrmecophila,Fabaceae,778303.7539,9586892.135,O,,,26.1,False,T01
CAU_A01,143a,Pradosia cochlearia,Sapotaceae,778302.9908,9586890.079,O,,,13.0,False,T01
CAU_A01,144a,Abarema jupunba,Fabaceae,778307.9241,9586885.3,O,,,62.6,False,T01
CAU_A01,145a,Inga sp.,Fabaceae,778303.441,9586884.897,O,,,15.3,False,T01
CAU_A01,146a,Eschweilera ovata,Lecythidaceae,778291.7812,9586891.326,O,,,29.7,False,T01
CAU_A01,147a,Lecythis idatimon,Lecythidaceae,778290.2779,9586891.325,O,,,24.5,False,T01
CAU_A01,148a,,,778290.2981,9586891.025,O,,,15.5,False,T01
CAU_A01,149a,Goupia glabra,Goupiaceae,778292.1182,9586886.337,O,,,29.9,False,T01
CAU_A01,150a,Rinorea guianensis,Violaceae,778294.4642,9586881.284,O,,,24.5,False,T01
CAU_A01,151a,Mabea angularis,Euphorbiaceae,778298.3944,9586882.451,O,,,19.7,False,T01
CAU_A01,152a,Mabea angularis,Euphorbiaceae,778302.3771,9586876.907,O,,,13.4,False,T01
CAU_A01,153a,Eschweilera coriacea,Lecythidaceae,778305.7168,9586876.431,O,,,29.1,False,T01
CAU_A01,154a,Mabea angularis,Euphorbiaceae,778302.0414,9586872.975,O,,,13.4,False,T01
CAU_A01,155a,Strychnos subcordata,Loganiaceae,778296.9651,9586873.935,O,,,18.2,False,T01
CAU_A01,156a,Rinorea guianensis,Violaceae,778296.9584,9586874.035,O,,,10.2,False,T01
CAU_A01,157a,Lecythis idatimon,Lecythidaceae,778293.918,9586874.531,O,,,24.3,False,T01
CAU_A01,158a,Hymenaea parvifolia,Fabaceae,778294.6662,9586870.874,O,,,15.0,False,T01
CAU_A01,159a,Lecythis idatimon,Lecythidaceae,778298.2931,9586869.114,O,,,15.5,False,T01
CAU_A01,160a,Lecythis idatimon,Lecythidaceae,778299.2571,9586869.68,O,,,24.4,False,T01
CAU_A01,161a,Lecythis idatimon,Lecythidaceae,778303.4098,9586867.555,O,,,19.0,False,T01
CAU_A01,162a,Tetragastris panamensis,Burseraceae,778277.4836,9586853.226,O,41.2,False,42.7,False,T01
CAU_A01,162b,Pouteria guianensis,Sapotaceae,778298.7581,9586862.23,O,,,12.1,False,T01
CAU_A01,163a,Pseudopiptadenia suaveolens,Fabaceae,778274.539,9586867.059,O,40.3,False,41.9,False,T01
CAU_A01,163b,Eschweilera coriacea,Lecythidaceae,778298.959,9586860.74,O,,,27.5,False,T01
CAU_A01,164a,Pouteria gongrijpii,Sapotaceae,778268.8106,9586847.709,O,49.9,False,49.9,False,T01
CAU_A01,164b,Sagotia racemosa,Euphorbiaceae,778299.8704,9586860.601,O,,,10.5,False,T01
CAU_A01,165a,Eschweilera ovata,Lecythidaceae,778262.6782,9586849.219,O,45.1,False,45.1,False,T01
CAU_A01,165b,Lecythis idatimon,Lecythidaceae,778299.1895,9586855.844,O,,,17.2,False,T01
CAU_A01,166a,Sagotia racemosa,Euphorbiaceae,778303.1939,9586855.914,O,,,11.0,False,T01
CAU_A01,167a,Tachigali myrmecophila,Fabaceae,778279.3231,9586890.284,O,,,36.9,False,T01
CAU_A01,042a,Pouteria gongrijpii,Sapotaceae,778159.59,9586849.751,O,17.5,False,18.8,False,T01
CAU_A01,047a,Eschweilera parviflora,Lecythidaceae,778130.7604,9586852.244,O,44.8,False,45.6,False,T01
CAU_A01,048a,Pouteria gongrijpii,Sapotaceae,778129.972,9586846.127,O,39.1,False,40.5,False,T01
CAU_A01,052a,Pouteria gongrijpii,Sapotaceae,778127.0779,9586846.323,O,14.3,False,15.6,False,T01
CAU_A01,053a,Eschweilera parviflora,Lecythidaceae,778120.658,9586848.156,O,47.0,False,47.5,False,T01
CAU_A01,054a,Eschweilera parviflora,Lecythidaceae,778112.7127,9586846.308,O,36.9,False,35.0,False,T01
CAU_A01,057a,Licania canescens,Chrysobalanaceae,778160.7111,9586840.261,O,10.6,False,11.0,False,T01
CAU_A01,058a,Pouteria reticulata,Sapotaceae,778161.3165,9586842.136,O,20.2,False,21.0,False,T01
CAU_A01,059a,Pouteria hispida,Sapotaceae,778152.5235,9586841.604,O,23.5,False,24.5,False,T01
CAU_A01,060a,Rinorea guianensis,Violaceae,778150.841,9586838.509,O,11.8,False,12.2,False,T01
CAU_A01,061a,Inga sp.,Fabaceae,778146.8528,9586838.186,O,27.5,False,28.7,False,T01
CAU_A01,062a,Abarema jupunba,Fabaceae,778145.2494,9586840.027,O,21.0,False,24.1,False,T01
CAU_A01,063a,Aiouea sp.,NI,778142.7572,9586840.768,O,18.0,False,18.0,False,T01
CAU_A01,064a,Pouteria gongrijpii,Sapotaceae,778133.7248,9586838.702,O,12.9,False,14.0,False,T01
CAU_A01,065a,Rinorea guianensis,Violaceae,778131.7677,9586838.192,O,15.2,False,16.4,False,T01
CAU_A01,066a,Rinorea guianensis,Violaceae,778123.0829,9586839.482,O,25.4,False,23.7,False,T01
CAU_A01,067a,Protium paniculatum,Burseraceae,778120.1991,9586839.176,O,20.0,False,21.1,False,T01
CAU_A01,068a,Licania guianensis,Chrysobalanaceae,778112.4996,9586877.577,O,36.3,False,36.3,False,T01
CAU_A01,069a,Helicostylis sp.,Moraceae,778109.9827,9586882.338,O,47.7,False,47.9,False,T01
CAU_A01,070a,Licania guianensis,Chrysobalanaceae,778115.4828,9586877.894,O,40.1,False,42.0,False,T01
CAU_A01,071a,Abarema jupunba,Fabaceae,778116.9435,9586883.078,O,58.4,False,58.4,False,T01
CAU_A01,072a,Pseudopiptadenia suaveolens,Fabaceae,778121.9774,9586873.556,O,50.0,False,50.2,False,T01
CAU_A01,073a,Licania canescens,Chrysobalanaceae,778139.7092,9586886.502,O,38.3,False,40.0,False,T01
CAU_A01,074a,Licania guianensis,Chrysobalanaceae,778142.2261,9586881.741,O,38.0,False,38.0,False,T01
CAU_A01,075a,Eschweilera coriacea,Lecythidaceae,778148.6151,9586878.397,O,55.7,False,55.7,False,T01
CAU_A01,076a,Tetragastris panamensis,Burseraceae,778141.8837,9586856.564,O,37.9,False,38.8,False,T01
CAU_A01,094a,Licania canescens,Chrysobalanaceae,778129.9826,9586846.027,O,33.3,False,33.4,False,T01
CAU_A01,095a,Eschweilera parviflora,Lecythidaceae,778134.7288,9586846.43,O,12.2,False,12.5,False,T01
CAU_A01,096a,Lecythis idatimon,Lecythidaceae,778156.9761,9586848.888,O,11.8,False,11.9,False,T01
CAU_A01,113a,Eschweilera ovata,Lecythidaceae,778147.7317,9586844.112,O,,,27.1,False,T01
CAU_A01,114a,Pouteria gongrijpii,Sapotaceae,778146.9176,9586847.042,O,,,32.3,False,T01
CAU_A01,115a,Helicostylis tomentosa,Moraceae,778150.2396,9586848.903,O,,,10.6,False,T01
CAU_A01,116a,Licania canescens,Chrysobalanaceae,778146.4368,9586884.702,O,,,15.9,False,T01
CAU_A01,117a,Rinorea guianensis,Violaceae,778144.1093,9586882.946,O,,,18.5,False,T01
CAU_A01,118a,Licania canescens,Chrysobalanaceae,778144.5405,9586880.78,O,,,14.8,False,T01
CAU_A01,119a,Rinorea guianensis,Violaceae,778143.0409,9586883.537,O,,,15.4,False,T01
CAU_A01,120a,Rinorea guianensis,Violaceae,778142.0887,9586883.033,O,,,17.9,False,T01
CAU_A01,121a,Licania canescens,Chrysobalanaceae,778140.356,9586883.252,O,,,14.2,False,T01
CAU_A01,122a,Pouteria gongrijpii,Sapotaceae,778141.6946,9586879.17,O,,,15.1,False,T01
CAU_A01,123a,Licania canescens,Chrysobalanaceae,778149.9799,9586879.748,O,,,10.1,False,T01
CAU_A01,124a,Rinorea guianensis,Violaceae,778148.1382,9586873.419,O,,,10.8,False,T01
CAU_A01,125a,Parkia paraensis,Fabaceae,778157.7013,9586873.328,O,,,58.2,False,T01
CAU_A01,126a,,,778143.5887,9586868.913,O,,,10.8,False,T01
CAU_A01,127a,Lecythis idatimon,Lecythidaceae,778142.7087,9586869.624,O,,,15.3,False,T01
CAU_A01,128a,Licania guianensis,Chrysobalanaceae,778142.4993,9586869.702,O,,,24.8,False,T01
CAU_A01,129a,Eschweilera ovata,Lecythidaceae,778143.8106,9586866.825,O,,,36.8,False,T01
CAU_A01,130a,Rinorea guianensis,Violaceae,778146.6084,9586858.473,O,,,12.5,False,T01
CAU_A01,131a,Rinorea guianensis,Violaceae,778154.0701,9586855.445,O,,,17.2,False,T01
CAU_A01,132a,Rinorea guianensis,Violaceae,778153.4057,9586855.072,O,,,22.3,False,T01
CAU_A01,133a,Eschweilera ovata,Lecythidaceae,778153.139,9586854.742,O,,,17.5,False,T01
CAU_A01,134a,Rinorea guianensis,Violaceae,778146.3472,9586852.412,O,,,18.5,False,T01
CAU_A01,135a,Rinorea guianensis,Violaceae,778147.8578,9586838.192,O,,,16.3,False,T01
CAU_A01,172a,Nectandra cuspidata,Lauraceae,778156.9642,9586858.038,O,51.4,False,52.2,False,T01
CAU_A01,175a,Helicostylis sp.,Moraceae,778132.812,9586855.478,O,35.4,False,35.7,False,T01
CAU_A01,176a,Eschweilera ovata,Lecythidaceae,778124.6644,9586855.54,O,36.6,False,38.5,False,T01
CAU_A01,015a,Licania sp.,Chrysobalanaceae,777991.8198,9586858.799,O,,,13.1,False,T01
CAU_A01,066a,Anacardium spruceanum,Anacardiaceae,778006.3173,9586833.524,O,18.8,False,19.2,False,T01
CAU_A01,068a,Pouteria gongrijpii,Sapotaceae,777996.8248,9586832.719,O,24.5,False,24.7,False,T01
CAU_A01,071a,Eschweilera parviflora,Lecythidaceae,777972.851,9586828.477,O,20.8,False,21.6,False,T01
CAU_A01,077a,Eschweilera coriacea,Lecythidaceae,778011.2558,9586824.46,O,44.5,False,45.0,False,T01
CAU_A01,078a,Eschweilera coriacea,Lecythidaceae,778005.556,9586824.157,O,22.5,False,29.5,False,T01
CAU_A01,078b,Helicostylis sp.,Moraceae,778010.1066,9586829.4,O,37.1,False,37.8,False,T01
CAU_A01,079a,Licania canescens,Chrysobalanaceae,778004.2553,9586826.935,O,24.8,False,26.5,False,T01
CAU_A01,080a,Lecythis idatimon,Lecythidaceae,777999.8202,9586823.245,O,22.3,False,22.5,False,T01
CAU_A01,081a,Chamaecrista xinguensis,Fabaceae,777996.2913,9586824.278,O,17.1,False,17.1,False,T01
CAU_A01,082a,Licania canescens,Chrysobalanaceae,777996.1813,9586824.367,O,15.2,False,16.2,False,T01
CAU_A01,083a,Lacmellea aculeata,Apocynaceae,777995.0875,9586824.251,O,11.3,False,12.0,False,T01
CAU_A01,084a,Eschweilera ovata,Lecythidaceae,777986.2963,9586821.809,O,19.9,False,21.0,False,T01
CAU_A01,085a,Licania canescens,Chrysobalanaceae,777981.1359,9586821.16,O,13.9,False,16.3,False,T01
CAU_A01,086a,Licania canescens,Chrysobalanaceae,777979.5747,9586822.603,O,12.7,False,,True,T01
CAU_A01,087a,Guatteria schomburgkiana,Annonaceae,777963.6326,9586821.211,O,12.8,False,14.0,False,T01
CAU_A01,088a,,,777989.0916,9586865.549,O,40.0,True,,True,T01
CAU_A01,089a,Pouteria hispida,Sapotaceae,777988.4141,9586862.46,O,39.7,False,41.5,False,T01
CAU_A01,090a,Neea oppositifolia,Nyctaginaceae,777988.986,9586866.543,O,41.5,False,42.4,False,T01
CAU_A01,091a,Pseudopiptadenia suaveolens,Fabaceae,778007.3577,9586872.517,O,43.0,False,45.0,False,T01
CAU_A01,092a,Eschweilera coriacea,Lecythidaceae,778007.1584,9586856.406,O,56.0,False,57.0,False,T01
CAU_A01,093a,Manilkara amazonica,Sapotaceae,777997.065,9586847.289,O,35.5,False,37.4,False,T01
CAU_A01,094a,Ormosia flava,Fabaceae,777994.3987,9586843.989,O,43.8,False,44.0,False,T01
CAU_A01,095a,Pouteria gongrijpii,Sapotaceae,778003.5112,9586871.807,O,,,22.3,False,T01
CAU_A01,096a,Cecropia engleriana,Urticaceae,778003.6379,9586870.613,O,,,14.2,False,T01
CAU_A01,097a,Lecythis idatimon,Lecythidaceae,777994.4242,9586872.149,O,,,36.4,False,T01
CAU_A01,098a,Micrandra minor,Euphorbiaceae,777994.9524,9586867.177,O,,,10.4,False,T01
CAU_A01,099a,Astronium graveolens,Anacardiaceae,777994.508,9586866.627,O,,,16.7,False,T01
CAU_A01,100a,Rinorea guianensis,Violaceae,777992.9213,9586867.363,O,,,15.4,False,T01
CAU_A01,101a,Lecythis lurida,Lecythidaceae,777992.0748,9586865.865,O,,,14.7,False,T01
CAU_A01,102a,Oenocarpus bacaba,Arecaceae,777999.9863,9586857.655,P,,,17.0,False,T01
CAU_A01,103a,Licania canescens,Chrysobalanaceae,778006.2802,9586855.206,O,,,10.0,False,T01
CAU_A01,104a,Chrysophyllum sanguinolentum,Sapotaceae,778001.6393,9586847.775,O,,,13.0,False,T01
CAU_A01,105a,Licania guianensis,Chrysobalanaceae,778003.8834,9586843.689,O,,,26.4,False,T01
CAU_A01,106a,Rinorea guianensis,Violaceae,777996.4826,9586843.305,O,,,18.9,False,T01
CAU_A01,107a,,,777997.6988,9586841.322,O,,,11.5,False,T01
CAU_A01,108a,Rinorea guianensis,Violaceae,777996.9667,9586840.641,O,,,23.5,False,T01
CAU_A01,109a,Pouteria cladantha,Sapotaceae,777996.9983,9586840.343,O,,,29.0,False,T01
CAU_A01,110a,Rinorea guianensis,Violaceae,778003.2518,9586836.381,O,,,14.2,False,T01
CAU_A01,111a,,,778007.0757,9586827.837,O,,,14.4,False,T01
CAU_A01,112a,Lecythis idatimon,Lecythidaceae,778006.2124,9586827.444,O,,,21.3,False,T01
CAU_A01,185a,Brosimum rubescens,Moraceae,777991.6907,9586822.42,O,55.9,False,56.1,False,T01
CAU_A01,186a,Eschweilera coriacea,Lecythidaceae,777984.0138,9586840.633,O,44.1,False,45.1,False,T01
CAU_A01,187a,Eschweilera coriacea,Lecythidaceae,777981.6403,9586822.361,O,40.4,False,41.0,False,T01
CAU_A01,188a,Lecythis idatimon,Lecythidaceae,777978.7989,9586822.06,O,54.1,False,54.3,False,T01
CAU_A01,001a,Endopleura uchi,Humiriaceae,779062.1317,9585311.67,O,14.3,False,15.2,False,T02
CAU_A01,001b,Pouteria gongrijpii,Sapotaceae,779061.2644,9585320.211,O,24.6,False,24.6,False,T02
CAU_A01,002a,Jacaranda copaia,Bignoniaceae,779061.2104,9585312.743,O,18.1,False,21.3,False,T02
CAU_A01,002b,Licania canescens,Chrysobalanaceae,779061.2755,9585326.528,O,73.2,False,75.0,False,T02
CAU_A01,003a,Sterculia pruriens,Malvaceae,779060.7292,9585310.373,O,11.2,False,12.0,False,T02
CAU_A01,004a,Jacaranda copaia,Bignoniaceae,779056.1804,9585311.22,O,11.7,False,12.0,False,T02
CAU_A01,004b,Pseudopiptadenia suaveolens,Fabaceae,779050.0429,9585320.864,O,11.0,False,12.9,False,T02
CAU_A01,005a,Ambelania acida,Apocynaceae,779055.826,9585313.153,O,11.9,False,12.7,False,T02
CAU_A01,006a,Inga sp.,Fabaceae,779053.4015,9585314.24,O,19.2,False,20.5,False,T02
CAU_A01,006b,Inga marginata,Fabaceae,779046.3378,9585321.547,O,10.6,False,13.8,False,T02
CAU_A01,007a,Inga sp.,Fabaceae,779051.4224,9585314.591,O,10.2,False,11.5,False,T02
CAU_A01,008a,Guatteria schomburgkiana,Annonaceae,779050.8729,9585311.323,O,12.4,False,14.0,False,T02
CAU_A01,008b,Lecythis idatimon,Lecythidaceae,779035.6054,9585322.456,O,16.0,False,17.0,False,T02
CAU_A01,009a,Tapirira guianensis,Anacardiaceae,779046.1561,9585311.281,O,22.7,False,27.5,False,T02
CAU_A01,010a,Eschweilera coriacea,Lecythidaceae,779043.2785,9585313.004,O,10.8,False,12.2,False,T02
CAU_A01,011a,,,779042.1676,9585311.584,O,31.4,True,,True,T02
CAU_A01,011b,Astronium graveolens,Anacardiaceae,779021.5975,9585323.522,O,24.0,False,24.2,False,T02
CAU_A01,012a,Abarema jupunba,Fabaceae,779041.2767,9585313.056,O,14.2,False,15.9,False,T02
CAU_A01,013a,Pouteria gongrijpii,Sapotaceae,779036.3822,9585314.632,O,15.3,False,16.0,False,T02
